Time,P_H2_In,F-H-735,F-H-725,dP_HS,dP_NS,F_H2O,F_H2O_kg/s,dP_H2O,T_HS_In,T_HS_Out,T_NS_In,T_NS_Out,T_H2O_In,T_H2O_Out
[s],[bar],[kg/h],[kg/h],[bar],[bar],[m**3/h],[kg/s],[bar],[K],[K],[K],[K],[degC],[degC]
73,149.82,11.96,0.03,0.05,-0.02,2,0.608,1.6,78.42,137.18,110.8,163.82,-19.8,-24.7
74,147.95,11.87,0.03,0.04,-0.02,2,0.608,1.59,78.42,137.32,112.44,164.26,-19.8,-24.8
75,147.52,11.87,0.03,0.07,-0.02,2,0.609,1.59,78.45,137.54,112.44,164.26,-20.1,-24.7
76,147.52,11.8,0.03,0.03,-0.04,2,0.608,1.81,78.38,137.9,111.59,164.44,-19.9,-24.7
77,150.28,11.98,0.03,0.03,-0.04,2.01,0.611,1.71,78.4,138.02,111.04,163.92,-19.8,-24.7
78,148.6,11.93,0.03,0.04,-0.02,2.05,0.624,1.71,78.42,138.22,111.04,164.36,-19.9,-24.7
79,146.83,11.93,0.03,0.08,-0.02,2.05,0.624,1.7,78.45,138.56,112.8,164.36,-19.9,-24.7
80,150.65,11.79,0.03,0.04,-0.01,2.09,0.636,1.69,78.4,138.8,111.97,164.63,-19.9,-24.6
81,150.65,11.97,0.03,0.04,-0.02,2.12,0.645,1.68,78.35,138.87,111.42,164.12,-19.9,-24.6
82,149.17,11.96,0.03,0.05,-0.02,2.14,0.651,1.68,78.42,139.18,111.42,164.12,-19.9,-24.6
83,146.87,11.96,0.03,0.04,-0.02,2.15,0.654,1.67,78.4,139.35,113.14,164.53,-19.9,-24.6
84,149.92,11.81,0.03,0.09,-0.02,2.15,0.654,1.67,78.35,139.55,112.37,164.83,-19.9,-24.6
85,149.92,11.92,0.03,0.09,-0.02,2.16,0.657,1.67,78.35,139.91,112.37,164.34,-20,-24.6
86,149.7,12.01,0.03,0.05,-0.02,2.17,0.66,1.66,78.38,140.05,111.7,164.34,-20.3,-24.6
87,147.6,11.84,0.03,0.04,-0.02,2.17,0.66,1.67,78.45,140.22,113.52,164.78,-20,-24.6
88,149.02,11.84,0.03,0.09,-0.02,2.17,0.66,1.66,78.38,140.61,112.87,165.05,-19.9,-24.7
